Time (s),Bus2
-6.94,0
-6.935,0
-6.93,1
-6.925,1
-6.92,2
-6.915,2
-6.91,3
-6.905,3
-6.9,4
-6.895,4
-6.89,3
-6.885,3
-6.88,3
-6.875,4
-6.87,4
-6.865,5
-6.86,5
-6.855,6
-6.85,6
-6.845,7
-6.84,7
-6.835,8
-6.83,8
-6.825,7
-6.82,7
-6.815,8
-6.81,8
-6.805,9
-6.8,9
-6.795,8
-6.79,8
-6.785,9
-6.78,9
-6.775,9
-6.77,10
-6.765,10
-6.76,9
-6.755,9
-6.75,10
-6.745,10
-6.74,11
-6.735,11
-6.73,12
-6.725,12
-6.72,13
-6.715,13
-6.71,14
-6.705,14
-6.7,15
-6.695,15
-6.69,16
-6.685,16
-6.68,17
-6.675,17
-6.67,18
-6.665,18
-6.66,18
-6.655,19
-6.65,19
-6.645,20
-6.64,20
-6.635,21
-6.63,21
-6.625,22
-6.62,22
-6.615,21
-6.61,21
-6.605,22
-6.6,22
-6.595,23
-6.59,23
-6.585,22
-6.58,22
-6.575,23
-6.57,23
-6.565,24
-6.56,24
-6.555,24
-6.55,25
-6.545,25
-6.54,26
-6.535,26
-6.53,27
-6.525,27
-6.52,28
-6.515,28
-6.51,29
-6.505,29
-6.5,30
-6.495,30
-6.49,31
-6.485,31
-6.48,32
-6.475,32
-6.47,33
-6.465,33
-6.46,34
-6.455,34
-6.45,34
-6.445,35
-6.44,35
-6.435,36
-6.43,36
-6.425,37
-6.42,37
-6.415,38
-6.41,38
-6.405,39
-6.4,39
-6.395,40
-6.39,40
-6.385,41
-6.38,41
-6.375,42
-6.37,42
-6.365,43
-6.36,43
-6.355,44
-6.35,44
-6.345,44
-6.34,45
-6.335,45
-6.33,46
-6.325,46
-6.32,47
-6.315,47
-6.31,48
-6.305,48
-6.3,49
-6.295,49
-6.29,50
-6.285,50
-6.28,51
-6.275,51
-6.27,52
-6.265,52
-6.26,53
-6.255,53
-6.25,54
-6.245,54
-6.24,55
-6.235,55
-6.23,55
-6.225,56
-6.22,56
-6.215,57
-6.21,57
-6.205,58
-6.2,58
-6.195,59
-6.19,59
-6.185,60
-6.18,60
-6.175,61
-6.17,61
-6.165,62
-6.16,62
-6.155,63
-6.15,63
-6.145,64
-6.14,64
-6.135,65
-6.13,65
-6.125,65
-6.12,66
-6.115,66
-6.11,67
-6.105,67
-6.1,68
-6.095,68
-6.09,69
-6.085,69
-6.08,70
-6.075,70
-6.07,71
-6.065,71
-6.06,72
-6.055,72
-6.05,73
-6.045,73
-6.04,74
-6.035,74
-6.03,75
-6.025,75
-6.02,75
-6.015,76
-6.01,76
-6.005,77
-6,77
-5.995,76
-5.99,76
-5.985,75
-5.98,75
-5.975,76
-5.97,76
-5.965,75
-5.96,75
-5.955,74
-5.95,74
-5.945,75
-5.94,75
-5.935,76
-5.93,76
-5.925,77
-5.92,77
-5.915,78
-5.91,78
-5.905,78
-5.9,79
-5.895,79
-5.89,80
-5.885,80
-5.88,81
-5.875,81
-5.87,82
-5.865,82
-5.86,83
-5.855,83
-5.85,84
-5.845,84
-5.84,85
-5.835,85
-5.83,86
-5.825,86
-5.82,87
-5.815,87
-5.81,88
-5.805,88
-5.8,88
-5.795,87
-5.79,87
-5.785,86
-5.78,86
-5.775,85
-5.77,85
-5.765,86
-5.76,86
-5.755,87
-5.75,87
-5.745,86
-5.74,86
-5.735,87
-5.73,87
-5.725,88
-5.72,88
-5.715,87
-5.71,87
-5.705,86
-5.7,86
-5.695,86
-5.69,85
-5.685,85
-5.68,86
-5.675,86
-5.67,87
-5.665,87
-5.66,88
-5.655,88
-5.65,87
-5.645,87
-5.64,86
-5.635,86
-5.63,87
-5.625,87
