second,Volt,Volt
-50.00000E-06,+3.38442210108E+00,+3.14321607351E+00
-49.95000E-06,+3.38442210108E+00,+3.13316582236E+00
-49.90000E-06,+3.38442210108E+00,+3.10301506892E+00
-49.85000E-06,+3.39447235223E+00,+3.11306532007E+00
-49.80000E-06,+3.38442210108E+00,+3.14321607351E+00
-49.75000E-06,+3.38442210108E+00,+3.15326632466E+00
-49.70000E-06,+3.40452260338E+00,+3.12311557122E+00
-49.65000E-06,+3.39447235223E+00,+3.13316582236E+00
-49.60000E-06,+3.42462310567E+00,+3.10301506892E+00
-49.55000E-06,+3.38442210108E+00,+3.14321607351E+00
-49.50000E-06,+3.38442210108E+00,+3.14321607351E+00
-49.45000E-06,+3.38442210108E+00,+3.11306532007E+00
-49.40000E-06,+3.38442210108E+00,+3.14321607351E+00
-49.35000E-06,+3.38442210108E+00,+3.14321607351E+00
-49.30000E-06,+3.38442210108E+00,+3.14321607351E+00
-49.25000E-06,+3.39447235223E+00,+3.14321607351E+00
-49.20000E-06,+3.38442210108E+00,+3.14321607351E+00
-49.15000E-06,+3.38442210108E+00,+3.10301506892E+00
-49.10000E-06,+3.42462310567E+00,+3.14321607351E+00
-49.05000E-06,+3.38442210108E+00,+3.11306532007E+00
-49.00000E-06,+3.38442210108E+00,+3.14321607351E+00
-48.95000E-06,+3.38442210108E+00,+3.14321607351E+00
-48.90000E-06,+3.38442210108E+00,+3.12311557122E+00
-48.85000E-06,+3.39447235223E+00,+3.14321607351E+00
-48.80000E-06,+3.38442210108E+00,+3.10301506892E+00
-48.75000E-06,+3.39447235223E+00,+3.14321607351E+00
-48.70000E-06,+3.40452260338E+00,+3.12311557122E+00
-48.65000E-06,+3.38442210108E+00,+3.14321607351E+00
-48.60000E-06,+3.42462310567E+00,+3.14321607351E+00
-48.55000E-06,+3.38442210108E+00,+3.14321607351E+00
-48.50000E-06,+3.40452260338E+00,+3.12311557121E+00
-48.45000E-06,+3.39447235223E+00,+3.13316582237E+00
-48.40000E-06,+3.42462310567E+00,+3.10301506892E+00
-48.35000E-06,+3.39447235223E+00,+3.13316582236E+00
-48.30000E-06,+3.40452260338E+00,+3.14321607351E+00
-48.25000E-06,+3.39447235223E+00,+3.14321607351E+00
-48.20000E-06,+3.38442210108E+00,+3.14321607351E+00
-48.15000E-06,+3.42462310567E+00,+3.14321607351E+00
-48.10000E-06,+3.40452260338E+00,+3.12311557121E+00
-48.05000E-06,+3.38442210108E+00,+3.14321607351E+00
-48.00000E-06,+3.38442210108E+00,+3.14321607351E+00
-47.95000E-06,+3.39447235223E+00,+3.11306532007E+00
-47.90000E-06,+3.40452260338E+00,+3.10301506892E+00
-47.85000E-06,+3.37437184993E+00,+3.14321607351E+00
-47.80000E-06,+3.38442210108E+00,+3.14321607351E+00
-47.75000E-06,+3.38442210108E+00,+3.11306532007E+00
-47.70000E-06,+3.38442210108E+00,+3.10301506892E+00
-47.65000E-06,+3.42462310567E+00,+3.14321607351E+00
-47.60000E-06,+3.42462310567E+00,+3.10301506892E+00
-47.55000E-06,+3.38442210108E+00,+3.13316582236E+00
-47.50000E-06,+3.40452260338E+00,+3.12311557122E+00
-47.45000E-06,+3.38442210108E+00,+3.10301506892E+00
-47.40000E-06,+3.34422109649E+00,+3.14321607351E+00
-47.35000E-06,+3.41457285452E+00,+3.12311557122E+00
-47.30000E-06,+3.38442210108E+00,+3.10301506892E+00
-47.25000E-06,+3.39447235223E+00,+3.10301506892E+00
-47.20000E-06,+3.38442210108E+00,+3.14321607351E+00
-47.15000E-06,+3.38442210108E+00,+3.13316582236E+00
-47.10000E-06,+3.40452260338E+00,+3.14321607351E+00
