second,Volt,Volt
-45.50000E-06,+6.86934667081E+00,+3.41206027567E+00
-45.45450E-06,+6.86934667081E+00,+3.41206027567E+00
-45.40900E-06,+6.85929641966E+00,+3.40201002453E+00
-45.36350E-06,+6.86934667081E+00,+3.38693464780E+00
-45.31800E-06,+6.86934667081E+00,+3.41206027567E+00
-45.27250E-06,+6.86934667081E+00,+3.39698489895E+00
-45.22700E-06,+6.86934667081E+00,+3.33165826648E+00
-45.18150E-06,+6.86934667081E+00,+3.41206027567E+00
-45.13600E-06,+6.78894466162E+00,+3.33165826648E+00
-45.09050E-06,+6.86934667081E+00,+3.33165826648E+00
-45.04500E-06,+6.78894466162E+00,+3.33165826648E+00
-44.99950E-06,+6.86934667081E+00,+3.41206027567E+00
-44.95400E-06,+6.94974868000E+00,+3.35175876878E+00
-44.90850E-06,+6.86934667081E+00,+3.41206027567E+00
-44.86300E-06,+6.86934667081E+00,+3.40201002453E+00
-44.81750E-06,+6.82412054064E+00,+3.41206027567E+00
-44.77200E-06,+6.78894466162E+00,+3.41206027567E+00
-44.72650E-06,+6.83417079179E+00,+3.33165826648E+00
-44.68100E-06,+6.79899491277E+00,+3.41206027567E+00
-44.63550E-06,+6.81407028949E+00,+3.41206027567E+00
-44.59000E-06,+6.86934667081E+00,+3.35175876878E+00
-44.54450E-06,+6.86934667081E+00,+3.34673364321E+00
-44.49900E-06,+6.86934667081E+00,+3.41206027567E+00
-44.45350E-06,+6.86934667081E+00,+3.33668339206E+00
-44.40800E-06,+6.82914566621E+00,+3.37185927108E+00
-44.36250E-06,+6.78894466162E+00,+3.33165826648E+00
-44.31700E-06,+6.81909541506E+00,+3.36180901993E+00
-44.27150E-06,+6.78894466162E+00,+3.33165826648E+00
-44.22600E-06,+6.86934667081E+00,+3.35175876878E+00
-44.18050E-06,+6.86934667081E+00,+3.33165826648E+00
-44.13500E-06,+6.86934667081E+00,+3.33165826648E+00
-44.08950E-06,+6.82412054064E+00,+3.37688439665E+00
-44.04400E-06,+6.86934667081E+00,+3.33165826649E+00
-43.99850E-06,+6.86934667081E+00,+3.41206027567E+00
-43.95300E-06,+6.86934667081E+00,+3.41206027567E+00
-43.90750E-06,+6.84422104294E+00,+3.38693464781E+00
-43.86200E-06,+6.86934667081E+00,+3.41206027567E+00
-43.81650E-06,+6.86934667081E+00,+3.34673364320E+00
-43.77100E-06,+6.86934667081E+00,+3.38190952222E+00
-43.72550E-06,+6.78894466162E+00,+3.33165826648E+00
-43.68000E-06,+6.78894466162E+00,+3.33165826648E+00
-43.63450E-06,+6.78894466162E+00,+3.33668339206E+00
-43.58900E-06,+6.86934667081E+00,+3.38190952223E+00
-43.54350E-06,+6.78894466162E+00,+3.33165826648E+00
-43.49800E-06,+6.80904516391E+00,+3.39195977338E+00
-43.45250E-06,+6.86934667081E+00,+3.33165826648E+00
-43.40700E-06,+6.86934667081E+00,+3.41206027567E+00
-43.36150E-06,+6.91457280097E+00,+3.41206027567E+00
-43.31600E-06,+6.86934667081E+00,+3.41206027567E+00
-43.27050E-06,+6.91457280098E+00,+3.37688439666E+00
-43.22500E-06,+6.86934667081E+00,+3.34170851764E+00
-43.17950E-06,+6.86934667081E+00,+3.33165826648E+00
-43.13400E-06,+6.80904516392E+00,+3.39195977337E+00
-43.08850E-06,+6.86934667081E+00,+3.39698489896E+00
-43.04300E-06,+6.81909541507E+00,+3.38190952222E+00
-42.99750E-06,+6.86934667081E+00,+3.33165826648E+00
-42.95200E-06,+6.86934667081E+00,+3.33165826648E+00
-42.90650E-06,+6.79396978720E+00,+3.33165826648E+00
-42.86100E-06,+6.91959792655E+00,+3.28140701074E+00
-42.81550E-06,+6.80402003835E+00,+3.33165826648E+00
-42.77000E-06,+6.86934667081E+00,+3.35175876878E+00
-42.72450E-06,+6.86934667081E+00,+3.33165826648E+00
-42.67900E-06,+6.86934667081E+00,+3.33165826648E+00
-42.63350E-06,+6.94974868000E+00,+3.37688439665E+00
-42.58800E-06,+6.86934667081E+00,+3.33165826648E+00
-42.54250E-06,+6.90452254982E+00,+3.33165826648E+00
-42.49700E-06,+6.86934667081E+00,+3.33165826648E+00
-42.45150E-06,+6.84422104294E+00,+3.33165826648E+00
-42.40600E-06,+6.86934667081E+00,+3.33165826648E+00
-42.36050E-06,+6.78894466162E+00,+3.26633163401E+00
-42.31500E-06,+6.86934667081E+00,+3.33165826648E+00
-42.26950E-06,+6.86934667081E+00,+3.33165826648E+00
-42.22400E-06,+6.82914566622E+00,+3.29145726188E+00
-42.17850E-06,+6.86934667081E+00,+3.33165826648E+00
-42.13300E-06,+6.86934667081E+00,+3.35175876880E+00
-42.08750E-06,+6.85427129408E+00,+3.26633163403E+00
-42.04200E-06,+6.86934667081E+00,+3.39195977338E+00
-41.99650E-06,+6.86934667081E+00,+3.33165826648E+00
-41.95100E-06,+6.79899491276E+00,+3.33165826648E+00
-41.90550E-06,+6.86934667081E+00,+3.33165826648E+00
-41.86000E-06,+6.86934667080E+00,+3.33165826648E+00
-41.81450E-06,+6.86934667081E+00,+3.33165826648E+00
-41.76900E-06,+6.86934667081E+00,+3.33165826648E+00
-41.72350E-06,+6.81407028948E+00,+3.30653263862E+00
-41.67800E-06,+6.86934667081E+00,+3.33165826648E+00
-41.63250E-06,+6.86934667081E+00,+3.33165826648E+00
-41.58700E-06,+6.86934667081E+00,+3.30150751303E+00
-41.54150E-06,+6.78894466162E+00,+3.33165826648E+00
-41.49600E-06,+6.86934667081E+00,+3.33165826648E+00
-41.45050E-06,+6.86934667081E+00,+3.33165826648E+00
-41.40500E-06,+6.83919591737E+00,+3.33165826648E+00
-41.35950E-06,+6.78894466162E+00,+3.26633163403E+00
-41.31400E-06,+6.86934667081E+00,+3.27135675958E+00
-41.26850E-06,+6.92462305212E+00,+3.35678389436E+00
-41.22300E-06,+6.86934667081E+00,+3.40201002453E+00
-41.17750E-06,+6.86934667081E+00,+3.33165826648E+00
-41.13200E-06,+6.86934667081E+00,+3.33165826648E+00
-41.08650E-06,+6.86934667081E+00,+3.33165826648E+00
-41.04100E-06,+7.48241199085E+00,+3.32160801533E+00
-40.99550E-06,+10.49748733552E+00,+3.73366831243E+00
-40.95000E-06,+7.35175872590E+00,+2.06532662177E+00
-40.90450E-06,+6.07035170454E+00,+4.60301503680E+00
-40.85900E-06,+7.96482404600E+00,+2.38693465849E+00
-40.81350E-06,+6.39698486680E+00,+3.86934670299E+00
-40.76800E-06,+7.07035169377E+00,+3.45226128026E+00
-40.72250E-06,+7.99497479945E+00,+2.69849244414E+00
-40.67700E-06,+6.65829139668E+00,+3.81407032162E+00
-40.63150E-06,+7.30150747022E+00,+3.01005022973E+00
-40.58600E-06,+7.45226123742E+00,+3.41206027567E+00
-40.54050E-06,+6.57286426193E+00,+3.25125625730E+00
-40.49500E-06,+7.83417078108E+00,+3.25125625730E+00
-40.44950E-06,+6.75376878259E+00,+3.17085424811E+00
-40.40400E-06,+7.51256274432E+00,+3.41206027566E+00
-40.35850E-06,+7.14572857738E+00,+3.04522610874E+00
-40.31300E-06,+7.04020094034E+00,+3.49246228486E+00
-40.26750E-06,+7.13567832623E+00,+3.17085424811E+00
-40.22200E-06,+7.19095470756E+00,+3.33165826648E+00
-40.17650E-06,+7.03015068918E+00,+3.34673364320E+00
-40.13100E-06,+7.27135671675E+00,+3.25125625730E+00
-40.08550E-06,+7.03517581475E+00,+3.33165826648E+00
-40.04000E-06,+7.19095470756E+00,+3.25125625727E+00
-39.99450E-06,+7.26633159117E+00,+3.33165826648E+00
-39.94900E-06,+7.11055269837E+00,+3.25125625730E+00
-39.90350E-06,+7.20603008430E+00,+3.26633163403E+00
-39.85800E-06,+7.13065320066E+00,+3.33165826648E+00
-39.81250E-06,+7.19095470756E+00,+3.33165826648E+00
-39.76700E-06,+7.19095470756E+00,+3.25125625730E+00
-39.72150E-06,+7.19095470756E+00,+3.33165826648E+00
-39.67600E-06,+7.11055269839E+00,+3.25125625730E+00
-39.63050E-06,+7.19095470756E+00,+3.33165826648E+00
-39.58500E-06,+7.12060294953E+00,+3.26130650846E+00
-39.53950E-06,+7.13567832623E+00,+3.25125625730E+00
-39.49400E-06,+7.19095470756E+00,+3.33165826648E+00
-39.44850E-06,+7.17587933085E+00,+3.39698489896E+00
-39.40300E-06,+7.16080395410E+00,+3.25125625730E+00
