second,Volt,Volt
-50.00000E-06,+3.61809048057E+00,+3.41708545387E+00
-49.95000E-06,+3.61809048057E+00,+3.36683419719E+00
-49.90000E-06,+3.61809048057E+00,+3.31658294052E+00
-49.85000E-06,+3.61809048057E+00,+3.36683419719E+00
-49.80000E-06,+3.41708545387E+00,+3.41708545387E+00
-49.75000E-06,+3.46733671054E+00,+3.41708545387E+00
-49.70000E-06,+3.41708545387E+00,+3.41708545387E+00
-49.65000E-06,+3.61809048057E+00,+3.36683419719E+00
-49.60000E-06,+3.41708545387E+00,+3.41708545387E+00
-49.55000E-06,+3.61809048057E+00,+3.41708545387E+00
-49.50000E-06,+3.51758796722E+00,+3.41708545387E+00
-49.45000E-06,+3.46733671054E+00,+3.26633168384E+00
-49.40000E-06,+3.41708545387E+00,+3.41708545387E+00
-49.35000E-06,+3.41708545387E+00,+3.41708545387E+00
-49.30000E-06,+3.61809048057E+00,+3.41708545387E+00
-49.25000E-06,+3.46733671054E+00,+3.41708545387E+00
-49.20000E-06,+3.61809048057E+00,+3.21608042717E+00
-49.15000E-06,+3.61809048057E+00,+3.36683419719E+00
-49.10000E-06,+3.61809048057E+00,+3.31658294052E+00
-49.05000E-06,+3.61809048057E+00,+3.26633168384E+00
-49.00000E-06,+3.41708545387E+00,+3.41708545387E+00
-48.95000E-06,+3.61809048057E+00,+3.41708545387E+00
-48.90000E-06,+3.51758796722E+00,+3.31658294052E+00
-48.85000E-06,+3.46733671054E+00,+3.41708545387E+00
-48.80000E-06,+3.61809048057E+00,+3.41708545387E+00
-48.75000E-06,+3.61809048057E+00,+3.41708545387E+00
-48.70000E-06,+3.61809048057E+00,+3.41708545387E+00
-48.65000E-06,+3.61809048057E+00,+3.41708545387E+00
-48.60000E-06,+3.61809048057E+00,+3.41708545387E+00
-48.55000E-06,+3.61809048057E+00,+3.41708545387E+00
-48.50000E-06,+3.61809048057E+00,+3.31658294051E+00
-48.45000E-06,+3.46733671054E+00,+3.41708545387E+00
-48.40000E-06,+3.61809048057E+00,+3.41708545387E+00
-48.35000E-06,+3.46733671055E+00,+3.41708545387E+00
