second,Volt,Volt
-250.0000E-09,+4.7437185421586E+00,+4.8241205513477E+00
-249.6000E-09,+4.7437185421586E+00,+4.8241205513477E+00
-249.2000E-09,+4.7437185421586E+00,+4.9045225605369E+00
-248.8000E-09,+4.7437185421586E+00,+4.9045225605369E+00
-248.4000E-09,+4.7437185421586E+00,+4.9045225605369E+00
-248.0000E-09,+4.6633165329695E+00,+4.9045225605369E+00
-247.6000E-09,+4.7437185421586E+00,+4.9045225605369E+00
-247.2000E-09,+4.7437185421586E+00,+4.9045225605369E+00
-246.8000E-09,+4.8241205513477E+00,+4.9045225605369E+00
-246.4000E-09,+4.8241205513477E+00,+4.9045225605369E+00
-246.0000E-09,+4.7437185421587E+00,+4.9045225605369E+00
-245.6000E-09,+4.7437185421586E+00,+4.9045225605369E+00
-245.2000E-09,+4.7437185421586E+00,+4.9045225605369E+00
-244.8000E-09,+4.7437185421586E+00,+4.9045225605369E+00
-244.4000E-09,+4.7437185421586E+00,+4.9849245697259E+00
-244.0000E-09,+4.7437185421586E+00,+4.9045225605369E+00
-243.6000E-09,+4.7437185421586E+00,+4.9045225605369E+00
-243.2000E-09,+4.7437185421586E+00,+4.9045225605369E+00
-242.8000E-09,+4.8241205513477E+00,+4.9045225605369E+00
-242.4000E-09,+4.8241205513477E+00,+4.9045225605369E+00
-242.0000E-09,+4.7437185421587E+00,+4.9045225605369E+00
-241.6000E-09,+4.6633165329696E+00,+4.9045225605369E+00
-241.2000E-09,+4.7437185421585E+00,+4.8241205513478E+00
-240.8000E-09,+4.7437185421586E+00,+4.8241205513477E+00
-240.4000E-09,+4.7437185421586E+00,+4.8241205513477E+00
-240.0000E-09,+4.7437185421586E+00,+4.9045225605367E+00
-239.6000E-09,+4.7437185421586E+00,+4.9045225605369E+00
-239.2000E-09,+4.8241205513476E+00,+4.9045225605369E+00
-238.8000E-09,+4.8241205513477E+00,+4.9045225605369E+00
-238.4000E-09,+4.8241205513477E+00,+4.9045225605369E+00
-238.0000E-09,+4.8241205513477E+00,+4.9045225605369E+00
-237.6000E-09,+4.8241205513477E+00,+4.8241205513479E+00
-237.2000E-09,+4.8241205513477E+00,+4.8241205513477E+00
-236.8000E-09,+4.8241205513477E+00,+4.8241205513477E+00
-236.4000E-09,+4.7437185421587E+00,+4.9045225605367E+00
-236.0000E-09,+4.7437185421586E+00,+4.9045225605369E+00
-235.6000E-09,+4.7437185421586E+00,+4.9045225605369E+00
-235.2000E-09,+4.7437185421586E+00,+4.9045225605369E+00
-234.8000E-09,+4.7437185421586E+00,+4.9045225605369E+00
-234.4000E-09,+4.8241205513476E+00,+4.9045225605369E+00
-234.0000E-09,+4.7437185421587E+00,+4.9045225605369E+00
-233.6000E-09,+4.7437185421586E+00,+4.9045225605369E+00
-233.2000E-09,+4.7437185421586E+00,+4.9045225605369E+00
-232.8000E-09,+4.7437185421586E+00,+4.8241205513479E+00
-232.4000E-09,+4.7437185421586E+00,+4.8241205513477E+00
-232.0000E-09,+4.7437185421586E+00,+4.8241205513477E+00
-231.6000E-09,+4.8241205513476E+00,+4.9045225605367E+00
-231.2000E-09,+4.8241205513477E+00,+4.8241205513479E+00
-230.8000E-09,+4.8241205513477E+00,+4.8241205513477E+00
-230.4000E-09,+4.8241205513477E+00,+4.8241205513477E+00
-230.0000E-09,+4.8241205513477E+00,+4.9045225605367E+00
-229.6000E-09,+4.8241205513477E+00,+4.9045225605369E+00
