second,Volt
-47.500000E-06,+4.711055293679E+00
-47.498400E-06,+4.711055293679E+00
-47.496800E-06,+4.711055293679E+00
-47.495200E-06,+4.711055293679E+00
-47.493600E-06,+4.711055293679E+00
-47.492000E-06,+4.711055293679E+00
-47.490400E-06,+4.711055293679E+00
-47.488800E-06,+4.711055293679E+00
-47.487200E-06,+4.711055293679E+00
-47.485600E-06,+4.711055293679E+00
-47.484000E-06,+4.711055293679E+00
-47.482400E-06,+4.711055293679E+00
-47.480800E-06,+4.711055293679E+00
-47.479200E-06,+4.711055293679E+00
-47.477600E-06,+4.711055293679E+00
-47.476000E-06,+4.510050266987E+00
-47.474400E-06,+4.711055293673E+00
-47.472800E-06,+4.711055293679E+00
-47.471200E-06,+4.510050266988E+00
-47.469600E-06,+4.711055293672E+00
-47.468000E-06,+4.711055293679E+00
-47.466400E-06,+4.711055293679E+00
-47.464800E-06,+4.711055293679E+00
-47.463200E-06,+4.510050266991E+00
-47.461600E-06,+4.510050266981E+00
-47.460000E-06,+4.711055293669E+00
-47.458400E-06,+4.711055293679E+00
-47.456800E-06,+4.711055293679E+00
-47.455200E-06,+4.711055293679E+00
-47.453600E-06,+4.711055293679E+00
-47.452000E-06,+4.711055293679E+00
-47.450400E-06,+4.711055293679E+00
-47.448800E-06,+4.711055293679E+00
-47.447200E-06,+4.711055293679E+00
-47.445600E-06,+4.912060320363E+00
-47.444000E-06,+4.711055293693E+00
-47.442400E-06,+4.711055293679E+00
-47.440800E-06,+4.711055293679E+00
-47.439200E-06,+4.711055293679E+00
-47.437600E-06,+4.510050266997E+00
-47.436000E-06,+4.711055293663E+00
-47.434400E-06,+4.711055293679E+00
-47.432800E-06,+4.711055293679E+00
-47.431200E-06,+4.711055293679E+00
-47.429600E-06,+4.711055293679E+00
-47.428000E-06,+4.912060320359E+00
-47.426400E-06,+4.711055293698E+00
-47.424800E-06,+4.711055293679E+00
-47.423200E-06,+4.711055293679E+00
-47.421600E-06,+4.711055293679E+00
-47.420000E-06,+4.711055293679E+00
-47.418400E-06,+4.711055293679E+00
-47.416800E-06,+4.711055293679E+00
-47.415200E-06,+4.711055293679E+00
-47.413600E-06,+4.711055293679E+00
-47.412000E-06,+4.711055293679E+00
-47.410400E-06,+4.711055293679E+00
-47.408800E-06,+4.711055293679E+00
-47.407200E-06,+4.711055293679E+00
-47.405600E-06,+4.711055293679E+00
-47.404000E-06,+4.711055293679E+00
-47.402400E-06,+4.711055293679E+00
-47.400800E-06,+4.711055293679E+00
-47.399200E-06,+4.711055293679E+00
-47.397600E-06,+4.711055293679E+00
-47.396000E-06,+4.711055293679E+00
-47.394400E-06,+4.711055293679E+00
-47.392800E-06,+4.711055293679E+00
-47.391200E-06,+4.711055293679E+00
-47.389600E-06,+4.711055293679E+00
-47.388000E-06,+4.711055293679E+00
-47.386400E-06,+4.510050267010E+00
-47.384800E-06,+4.711055293650E+00
-47.383200E-06,+4.510050267011E+00
-47.381600E-06,+4.711055293649E+00
-47.380000E-06,+4.711055293679E+00
-47.378400E-06,+4.711055293679E+00
-47.376800E-06,+4.711055293679E+00
-47.375200E-06,+4.711055293679E+00
-47.373600E-06,+4.711055293679E+00
-47.372000E-06,+4.711055293679E+00
-47.370400E-06,+4.711055293679E+00
-47.368800E-06,+4.711055293679E+00
-47.367200E-06,+4.711055293679E+00
-47.365600E-06,+4.711055293679E+00
-47.364000E-06,+4.912060320343E+00
-47.362400E-06,+4.711055293714E+00
-47.360800E-06,+4.711055293679E+00
-47.359200E-06,+4.711055293679E+00
-47.357600E-06,+4.711055293679E+00
-47.356000E-06,+4.711055293679E+00
-47.354400E-06,+4.711055293679E+00
-47.352800E-06,+4.711055293679E+00
-47.351200E-06,+4.711055293679E+00
-47.349600E-06,+4.711055293679E+00
-47.348000E-06,+4.711055293679E+00
-47.346400E-06,+4.711055293679E+00
-47.344800E-06,+4.711055293679E+00
-47.343200E-06,+4.711055293679E+00
-47.341600E-06,+4.711055293679E+00
-47.340000E-06,+4.711055293679E+00
-47.338400E-06,+4.711055293679E+00
-47.336800E-06,+4.510050267023E+00
-47.335200E-06,+4.510050266981E+00
-47.333600E-06,+4.711055293637E+00
-47.332000E-06,+4.711055293679E+00
-47.330400E-06,+4.711055293679E+00
-47.328800E-06,+4.711055293679E+00
-47.327200E-06,+4.711055293679E+00
-47.325600E-06,+4.711055293679E+00
-47.324000E-06,+4.711055293679E+00
-47.322400E-06,+4.711055293679E+00
-47.320800E-06,+4.912060320331E+00
-47.319200E-06,+4.711055293725E+00
-47.317600E-06,+4.711055293679E+00
-47.316000E-06,+4.711055293679E+00
-47.314400E-06,+4.711055293679E+00
-47.312800E-06,+4.912060320330E+00
-47.311200E-06,+4.711055293728E+00
