second,Volt,Volt
-28.30000E-09,+226.53283271939E-03,-90.53275268525E-03
-28.22188E-09,+226.53283271939E-03,-95.55787825957E-03
-28.14375E-09,+226.53283271939E-03,-96.76390839741E-03
-28.06563E-09,+230.35192815587E-03,-100.58300383389E-03
-27.98750E-09,+231.55795829371E-03,-101.78903397173E-03
-27.90938E-09,+235.37705373019E-03,-101.78903397173E-03
-27.83125E-09,+236.58308386803E-03,-101.78903397173E-03
-27.75313E-09,+236.58308386803E-03,-97.96993853524E-03
-27.67500E-09,+236.58308386803E-03,-92.94481296092E-03
-27.59688E-09,+236.58308386803E-03,-87.91968738660E-03
-27.51875E-09,+236.58308386803E-03,-79.07546637580E-03
-27.44063E-09,+236.58308386803E-03,-69.02521522716E-03
-27.36250E-09,+236.58308386803E-03,-58.97496407852E-03
-27.28438E-09,+236.58308386803E-03,-45.10561749339E-03
-27.20625E-09,+236.58308386803E-03,-33.84933620691E-03
-27.12813E-09,+236.58308386803E-03,-23.79908505827E-03
-27.05000E-09,+236.58308386803E-03,-17.56792934612E-03
-26.97188E-09,+232.76398843155E-03,-8.72370833531E-03
-26.89375E-09,+227.73886285722E-03,-6.31164805964E-03
-26.81563E-09,+226.53283271939E-03,-2.49255262315E-03
-26.73750E-09,+226.53283271939E-03,-1.28652248532E-03
-26.65938E-09,+226.53283271939E-03,-5.10561792180E-03
-26.58125E-09,+226.53283271939E-03,-10.13074349612E-03
-26.50313E-09,+226.53283271939E-03,-15.15586907044E-03
-26.42500E-09,+230.35192815587E-03,-24.00009008124E-03
-26.34688E-09,+235.37705373019E-03,-34.05034122988E-03
-26.26875E-09,+244.22127474099E-03,-44.10059237852E-03
-26.19063E-09,+254.27152588963E-03,-54.15084352717E-03
-26.11250E-09,+264.32177703827E-03,-68.02019011229E-03
-26.03438E-09,+274.37202818692E-03,-79.27647139877E-03
-25.95625E-09,+280.60318389907E-03,-85.50762711093E-03
-25.87813E-09,+285.62830947339E-03,-94.35184812173E-03
-25.80000E-09,+286.83433961123E-03,-96.76390839741E-03
-25.72188E-09,+283.01524417475E-03,-100.58300383389E-03
-25.64375E-09,+277.99011860043E-03,-101.78903397173E-03
-25.56563E-09,+269.14589758963E-03,-101.78903397173E-03
-25.48750E-09,+259.09564644099E-03,-97.96993853524E-03
-25.40938E-09,+249.04539529235E-03,-96.76390839741E-03
-25.33125E-09,+238.99514414370E-03,-96.76390839741E-03
-25.25313E-09,+232.76398843155E-03,-92.94481296092E-03
-25.17500E-09,+227.73886285722E-03,-91.73878282309E-03
-25.09688E-09,+226.53283271939E-03,-91.73878282309E-03
-25.01875E-09,+226.53283271939E-03,-91.73878282309E-03
-24.94063E-09,+226.53283271939E-03,-91.73878282309E-03
-24.86250E-09,+226.53283271939E-03,-95.55787825957E-03
