time,I(L1)
0.000000000000000e+000,0.000000e+000
3.906249781103488e-013,2.772524e-017
1.811775340359772e-010,-3.073711e-010
3.619644430938440e-010,-3.396591e-011
5.427513521517108e-010,8.202157e-010
7.235382612095777e-010,2.255174e-009
9.043251702674446e-010,4.270908e-009
1.085112079325311e-009,6.867419e-009
1.265898988383178e-009,1.004471e-008
1.578390457082845e-009,1.944409e-008
1.968223899342226e-009,3.765275e-008
2.454610933130760e-009,7.293131e-008
3.061999487622321e-009,1.413371e-007
3.821166163083511e-009,2.740756e-007
4.771777477616237e-009,5.320505e-007
5.965341664084627e-009,1.034537e-006
7.471268954152328e-009,2.017192e-006
9.387654501862685e-009,3.952157e-006
1.186795471736138e-008,7.815088e-006
1.520101953772709e-008,1.578982e-005
2.017860946078909e-008,3.373240e-005
2.855016434768852e-008,7.536705e-005
3.746222252129829e-008,1.314571e-004
4.868187272483766e-008,2.153090e-004
6.350779596642249e-008,3.413088e-004
8.684015189298386e-008,5.628320e-004
1.213533076006947e-007,9.229457e-004
1.604158076006947e-007,1.363558e-003
1.994783076006947e-007,1.832449e-003
2.385408076006947e-007,2.324446e-003
2.776033076006947e-007,2.835229e-003
3.557283076006947e-007,3.901695e-003
4.729158076006947e-007,5.588420e-003
5.733622361721234e-007,7.111438e-003
6.738086647435521e-007,8.668294e-003
7.742550933149807e-007,1.025899e-002
8.747015218864094e-007,1.188352e-002
9.751479504578381e-007,1.354188e-002
1.075594379029267e-006,1.523409e-002
1.176040807600695e-006,1.696013e-002
1.438317593314982e-006,2.157621e-002
1.700594379029268e-006,2.627680e-002
1.962871164743555e-006,3.106190e-002
2.225147950457841e-006,3.593149e-002
2.487424736172128e-006,4.088559e-002
2.749701521886414e-006,4.592420e-002
3.011978307600700e-006,5.104730e-002
3.603496164743559e-006,6.279269e-002
4.195014021886418e-006,7.468573e-002
4.786531879029277e-006,8.672642e-002
5.378049736172136e-006,9.891476e-002
5.969567593314995e-006,1.112508e-001
6.561085450457854e-006,1.237344e-001
7.152603307600711e-006,1.363657e-001
8.413764021886424e-006,1.635783e-001
9.674924736172139e-006,1.909778e-001
1.093608545045785e-005,2.185642e-001
1.219724616474357e-005,2.463375e-001
1.345840687902928e-005,2.742976e-001
1.471956759331499e-005,3.024446e-001
1.598072830760070e-005,3.307784e-001
2.000390625000000e-005,4.213467e-001
2.050279017857141e-005,4.326260e-001
2.100167410714282e-005,4.438726e-001
2.150055803571423e-005,4.550865e-001
2.199944196428564e-005,4.662675e-001
2.249832589285705e-005,4.774158e-001
2.299720982142845e-005,4.885313e-001
2.349609374999986e-005,4.996141e-001
2.379185267857128e-005,5.061502e-001
2.408761160714270e-005,5.126572e-001
2.438337053571411e-005,5.191349e-001
2.467912946428553e-005,5.255835e-001
2.497488839285695e-005,5.320030e-001
2.527064732142836e-005,5.383933e-001
2.556640624999978e-005,5.447544e-001
2.591238839285691e-005,5.521714e-001
2.625837053571404e-005,5.594979e-001
2.660435267857117e-005,5.667337e-001
2.695033482142830e-005,5.738788e-001
2.729631696428542e-005,5.809333e-001
