second,Volt
-250.0000E-06,+536.1808650E-03
-249.7500E-06,+455.7788558E-03
-249.5000E-06,+375.3768466E-03
-249.2500E-06,+294.9748375E-03
-249.0000E-06,+254.7738329E-03
-248.7500E-06,+214.5728283E-03
-248.5000E-06,+194.4723260E-03
-248.2500E-06,+134.1708191E-03
-248.0000E-06,+134.1708191E-03
-247.7500E-06,+93.9698145E-03
-247.5000E-06,+73.8693122E-03
-247.2500E-06,+53.7688099E-03
-247.0000E-06,+53.7688099E-03
-246.7500E-06,+43.7185587E-03
-246.5000E-06,+53.7688099E-03
-246.2500E-06,+13.5678053E-03
-246.0000E-06,+13.5678053E-03
-245.7500E-06,+13.5678053E-03
-245.5000E-06,+13.5678053E-03
-245.2500E-06,-26.6331993E-03
-245.0000E-06,+13.5678053E-03
-244.7500E-06,-26.6331993E-03
-244.5000E-06,-26.6331993E-03
-244.2500E-06,-26.6331993E-03
-244.0000E-06,-26.6331993E-03
-243.7500E-06,-26.6331993E-03
-243.5000E-06,-26.6331993E-03
-243.2500E-06,-26.6331993E-03
-243.0000E-06,-26.6331993E-03
-242.7500E-06,-26.6331993E-03
-242.5000E-06,-26.6331993E-03
-242.2500E-06,-26.6331993E-03
-242.0000E-06,-66.8342039E-03
-241.7500E-06,-26.6331993E-03
-241.5000E-06,-26.6331993E-03
-241.2500E-06,-26.6331993E-03
-241.0000E-06,-26.6331993E-03
-240.7500E-06,-56.7839528E-03
-240.5000E-06,-26.6331993E-03
-240.2500E-06,-26.6331993E-03
-240.0000E-06,-26.6331993E-03
-239.7500E-06,-26.6331993E-03
-239.5000E-06,-46.7337016E-03
-239.2500E-06,-26.6331993E-03
-239.0000E-06,-66.8342039E-03
-238.7500E-06,-26.6331993E-03
-238.5000E-06,-26.6331993E-03
-238.2500E-06,-56.7839527E-03
-238.0000E-06,-26.6331993E-03
-237.7500E-06,-26.6331993E-03
-237.5000E-06,-26.6331993E-03
-237.2500E-06,-26.6331993E-03
-237.0000E-06,-26.6331993E-03
-236.7500E-06,-26.6331993E-03
-236.5000E-06,-26.6331993E-03
-236.2500E-06,-36.6834505E-03
-236.0000E-06,-26.6331993E-03
-235.7500E-06,-56.7839528E-03
-235.5000E-06,-26.6331993E-03
-235.2500E-06,-26.6331993E-03
-235.0000E-06,-26.6331993E-03
-234.7500E-06,-26.6331993E-03
-234.5000E-06,-26.6331993E-03
-234.2500E-06,-26.6331993E-03
-234.0000E-06,-26.6331993E-03
-233.7500E-06,-26.6331993E-03
-233.5000E-06,-46.7337016E-03
-233.2500E-06,-26.6331993E-03
-233.0000E-06,-26.6331993E-03
-232.7500E-06,-26.6331993E-03
-232.5000E-06,-66.8342039E-03
-232.2500E-06,-56.7839527E-03
-232.0000E-06,-26.6331993E-03
-231.7500E-06,-26.6331993E-03
-231.5000E-06,-26.6331993E-03
-231.2500E-06,-26.6331993E-03
-231.0000E-06,+13.5678053E-03
-230.7500E-06,-36.6834505E-03
-230.5000E-06,-26.6331993E-03
-230.2500E-06,-26.6331993E-03
-230.0000E-06,-26.6331993E-03
-229.7500E-06,-66.8342039E-03
-229.5000E-06,-46.7337016E-03
-229.2500E-06,-26.6331993E-03
-229.0000E-06,-26.6331993E-03
-228.7500E-06,-26.6331993E-03
-228.5000E-06,-26.6331993E-03
-228.2500E-06,-26.6331993E-03
-228.0000E-06,-26.6331993E-03
-227.7500E-06,-56.7839528E-03
-227.5000E-06,-26.6331993E-03
-227.2500E-06,-26.6331993E-03
-227.0000E-06,-26.6331993E-03
-226.7500E-06,-56.7839528E-03
-226.5000E-06,-26.6331993E-03
-226.2500E-06,-36.6834505E-03
-226.0000E-06,-26.6331993E-03
-225.7500E-06,-26.6331993E-03
-225.5000E-06,-26.6331993E-03
-225.2500E-06,-56.7839527E-03
-225.0000E-06,+13.5678053E-03
-224.7500E-06,-66.8342039E-03
-224.5000E-06,-66.8342039E-03
-224.2500E-06,-26.6331993E-03
-224.0000E-06,-26.6331993E-03
-223.7500E-06,-26.6331993E-03
-223.5000E-06,-46.7337016E-03
-223.2500E-06,-26.6331993E-03
-223.0000E-06,-26.6331993E-03
-222.7500E-06,-26.6331993E-03
-222.5000E-06,-26.6331993E-03
-222.2500E-06,-26.6331993E-03
-222.0000E-06,-26.6331993E-03
-221.7500E-06,-26.6331993E-03
-221.5000E-06,-66.8342039E-03
-221.2500E-06,-26.6331993E-03
-221.0000E-06,-26.6331993E-03
-220.7500E-06,-56.7839527E-03
-220.5000E-06,-26.6331993E-03
-220.2500E-06,-66.8342039E-03
-220.0000E-06,-66.8342039E-03
-219.7500E-06,-26.6331993E-03
-219.5000E-06,-26.6331993E-03
-219.2500E-06,-26.6331993E-03
-219.0000E-06,-26.6331993E-03
-218.7500E-06,-26.6331993E-03
-218.5000E-06,-26.6331993E-03
-218.2500E-06,-56.7839528E-03
-218.0000E-06,-26.6331993E-03
-217.7500E-06,-36.6834505E-03
-217.5000E-06,-26.6331993E-03
-217.2500E-06,-66.8342039E-03
-217.0000E-06,-66.8342039E-03
-216.7500E-06,-26.6331993E-03
-216.5000E-06,-46.7337016E-03
-216.2500E-06,-26.6331993E-03
-216.0000E-06,-26.6331993E-03
-215.7500E-06,-26.6331993E-03
-215.5000E-06,-66.8342039E-03
-215.2500E-06,-26.6331993E-03
-215.0000E-06,-66.8342039E-03
-214.7500E-06,-36.6834505E-03
-214.5000E-06,-46.7337016E-03
-214.2500E-06,-36.6834505E-03
-214.0000E-06,-26.6331993E-03
-213.7500E-06,-26.6331993E-03
-213.5000E-06,-26.6331993E-03
-213.2500E-06,-26.6331993E-03
-213.0000E-06,-66.8342039E-03
-212.7500E-06,-26.6331993E-03
-212.5000E-06,-46.7337016E-03
-212.2500E-06,-26.6331993E-03
-212.0000E-06,-26.6331993E-03
-211.7500E-06,-66.8342039E-03
-211.5000E-06,-26.6331993E-03
-211.2500E-06,-26.6331993E-03
-211.0000E-06,-26.6331993E-03
-210.7500E-06,-56.7839527E-03
-210.5000E-06,-46.7337016E-03
-210.2500E-06,-26.6331993E-03
-210.0000E-06,-26.6331993E-03
-209.7500E-06,-26.6331993E-03
-209.5000E-06,-26.6331993E-03
-209.2500E-06,-36.6834505E-03
-209.0000E-06,-26.6331993E-03
-208.7500E-06,-26.6331993E-03
-208.5000E-06,-26.6331993E-03
-208.2500E-06,-56.7839528E-03
-208.0000E-06,-66.8342039E-03
-207.7500E-06,-36.6834505E-03
-207.5000E-06,-46.7337016E-03
-207.2500E-06,-26.6331993E-03
-207.0000E-06,-26.6331993E-03
-206.7500E-06,-36.6834505E-03
-206.5000E-06,-46.7337016E-03
-206.2500E-06,-26.6331993E-03
-206.0000E-06,-26.6331993E-03
-205.7500E-06,-26.6331993E-03
-205.5000E-06,-66.8342039E-03
-205.2500E-06,-36.6834505E-03
-205.0000E-06,-26.6331993E-03
-204.7500E-06,-26.6331993E-03
-204.5000E-06,-26.6331993E-03
-204.2500E-06,-26.6331993E-03
-204.0000E-06,-26.6331993E-03
-203.7500E-06,-66.8342039E-03
-203.5000E-06,-46.7337016E-03
-203.2500E-06,-56.7839528E-03
-203.0000E-06,-26.6331993E-03
-202.7500E-06,-26.6331993E-03
-202.5000E-06,-26.6331993E-03
-202.2500E-06,-36.6834505E-03
-202.0000E-06,-66.8342039E-03
-201.7500E-06,-66.8342039E-03
-201.5000E-06,-26.6331993E-03
-201.2500E-06,-36.6834505E-03
-201.0000E-06,-26.6331993E-03
-200.7500E-06,-26.6331993E-03
-200.5000E-06,-66.8342039E-03
-200.2500E-06,-26.6331993E-03
-200.0000E-06,-26.6331993E-03
-199.7500E-06,-26.6331993E-03
-199.5000E-06,-26.6331993E-03
-199.2500E-06,-26.6331993E-03
-199.0000E-06,-26.6331993E-03
-198.7500E-06,-26.6331993E-03
-198.5000E-06,-46.7337016E-03
-198.2500E-06,-26.6331993E-03
-198.0000E-06,-66.8342039E-03
-197.7500E-06,-56.7839527E-03
-197.5000E-06,-46.7337016E-03
-197.2500E-06,-26.6331993E-03
-197.0000E-06,-26.6331993E-03
-196.7500E-06,-36.6834505E-03
-196.5000E-06,-46.7337016E-03
-196.2500E-06,-26.6331993E-03
-196.0000E-06,-26.6331993E-03
-195.7500E-06,-26.6331993E-03
-195.5000E-06,-26.6331993E-03
-195.2500E-06,-36.6834504E-03
-195.0000E-06,-66.8342039E-03
-194.7500E-06,-36.6834505E-03
-194.5000E-06,-26.6331993E-03
-194.2500E-06,-66.8342039E-03
-194.0000E-06,-66.8342039E-03
-193.7500E-06,-56.7839527E-03
-193.5000E-06,-46.7337016E-03
-193.2500E-06,-26.6331993E-03
-193.0000E-06,-26.6331993E-03
-192.7500E-06,-26.6331993E-03
-192.5000E-06,-46.7337016E-03
-192.2500E-06,-56.7839528E-03
-192.0000E-06,-26.6331993E-03
-191.7500E-06,-56.7839527E-03
-191.5000E-06,-46.7337016E-03
-191.2500E-06,-26.6331993E-03
-191.0000E-06,-26.6331993E-03
-190.7500E-06,-26.6331993E-03
-190.5000E-06,-46.7337016E-03
-190.2500E-06,-66.8342039E-03
-190.0000E-06,-66.8342039E-03
-189.7500E-06,-36.6834505E-03
-189.5000E-06,-66.8342039E-03
-189.2500E-06,-66.8342039E-03
-189.0000E-06,-26.6331993E-03
-188.7500E-06,-26.6331993E-03
-188.5000E-06,-46.7337016E-03
-188.2500E-06,-36.6834504E-03
-188.0000E-06,-26.6331993E-03
-187.7500E-06,-26.6331993E-03
-187.5000E-06,-46.7337016E-03
-187.2500E-06,-26.6331993E-03
-187.0000E-06,-26.6331993E-03
-186.7500E-06,-66.8342039E-03
-186.5000E-06,-26.6331993E-03
-186.2500E-06,-26.6331993E-03
-186.0000E-06,-26.6331993E-03
-185.7500E-06,-56.7839527E-03
-185.5000E-06,-26.6331993E-03
-185.2500E-06,-36.6834504E-03
-185.0000E-06,-26.6331993E-03
-184.7500E-06,-36.6834505E-03
-184.5000E-06,-26.6331993E-03
-184.2500E-06,-26.6331993E-03
-184.0000E-06,-66.8342039E-03
-183.7500E-06,-66.8342039E-03
-183.5000E-06,-26.6331993E-03
-183.2500E-06,-56.7839528E-03
-183.0000E-06,-26.6331993E-03
-182.7500E-06,-26.6331993E-03
-182.5000E-06,-26.6331993E-03
-182.2500E-06,-26.6331993E-03
-182.0000E-06,-26.6331993E-03
-181.7500E-06,+13.5678053E-03
-181.5000E-06,+33.6683076E-03
-181.2500E-06,+53.7688099E-03
-181.0000E-06,+93.9698145E-03
-180.7500E-06,+104.0200656E-03
-180.5000E-06,+174.3718237E-03
-180.2500E-06,+244.7235817E-03
-180.0000E-06,+294.9748375E-03
-179.7500E-06,+325.1255909E-03
-179.5000E-06,+375.3768466E-03
-179.2500E-06,+415.5778512E-03
-179.0000E-06,+495.9798604E-03
-178.7500E-06,+536.1808650E-03
-178.5000E-06,+576.3818696E-03
-178.2500E-06,+656.7838788E-03
-178.0000E-06,+737.1858880E-03
-177.7500E-06,+747.2361391E-03
-177.5000E-06,+777.3868926E-03
-177.2500E-06,+857.7889018E-03
