second,Volt,Volt
-28.30000E-09,+3.76924636261538E+00,+3.71851243264973E+00
-28.22188E-09,+3.76924636261538E+00,+3.71348730707541E+00
-28.14375E-09,+3.76924636261538E+00,+3.71228127693757E+00
-28.06563E-09,+3.76924636261538E+00,+3.71228127693757E+00
-27.98750E-09,+3.76924636261538E+00,+3.71228127693757E+00
-27.90938E-09,+3.76924636261538E+00,+3.71610037237406E+00
-27.83125E-09,+3.76924636261538E+00,+3.72494459338486E+00
-27.75313E-09,+3.77306545805186E+00,+3.73117574909702E+00
-27.67500E-09,+3.77427148818970E+00,+3.74001997010782E+00
-27.59688E-09,+3.77427148818970E+00,+3.75007022125646E+00
-27.51875E-09,+3.77427148818970E+00,+3.75630137696862E+00
-27.44063E-09,+3.77427148818970E+00,+3.76896469341591E+00
-27.36250E-09,+3.77427148818970E+00,+3.77640187926590E+00
-27.28438E-09,+3.77045239275321E+00,+3.78524610027671E+00
-27.20625E-09,+3.76924636261538E+00,+3.79911544686183E+00
-27.12813E-09,+3.76924636261538E+00,+3.81037172814831E+00
-27.05000E-09,+3.76924636261538E+00,+3.82042197929695E+00
-26.97188E-09,+3.76924636261538E+00,+3.83047223044559E+00
-26.89375E-09,+3.76924636261538E+00,+3.84052248159423E+00
-26.81563E-09,+3.76924636261538E+00,+3.84675363730639E+00
-26.73750E-09,+3.76924636261538E+00,+3.84795966744423E+00
-26.65938E-09,+3.77306545805186E+00,+3.84795966744423E+00
-26.58125E-09,+3.77809058362618E+00,+3.84032147657126E+00
-26.50313E-09,+3.77929661376402E+00,+3.83409032085911E+00
-26.42500E-09,+3.77929661376402E+00,+3.82524609984830E+00
-26.34688E-09,+3.77929661376402E+00,+3.80755765782670E+00
-26.26875E-09,+3.77547751832754E+00,+3.79509534640238E+00
-26.19063E-09,+3.77427148818970E+00,+3.78504509525374E+00
-26.11250E-09,+3.76663329731673E+00,+3.77117574866862E+00
-26.03438E-09,+3.75658304616809E+00,+3.75991946738214E+00
-25.95625E-09,+3.74653279501945E+00,+3.75750740710646E+00
-25.87813E-09,+3.73648254387081E+00,+3.75368831166998E+00
-25.80000E-09,+3.72643229272217E+00,+3.75248228153214E+00
-25.72188E-09,+3.72020113701001E+00,+3.75248228153214E+00
-25.64375E-09,+3.71517601143569E+00,+3.75630137696862E+00
-25.56563E-09,+3.71396998129785E+00,+3.75750740710646E+00
-25.48750E-09,+3.71778907673433E+00,+3.76132650254294E+00
-25.40938E-09,+3.71899510687217E+00,+3.76635162811726E+00
-25.33125E-09,+3.72663329774513E+00,+3.76755765825510E+00
-25.25313E-09,+3.74050264433026E+00,+3.76755765825510E+00
-25.17500E-09,+3.75175892561674E+00,+3.77137675369158E+00
-25.09688E-09,+3.75799008132890E+00,+3.77258278382942E+00
-25.01875E-09,+3.76683430233970E+00,+3.76876368839294E+00
-24.94063E-09,+3.77306545805186E+00,+3.76755765825510E+00
-24.86250E-09,+3.77809058362618E+00,+3.76755765825510E+00
-24.78438E-09,+3.77929661376402E+00,+3.76373856281862E+00
-24.70625E-09,+3.77929661376402E+00,+3.75871343724430E+00
-24.62813E-09,+3.77929661376402E+00,+3.75368831166998E+00
-24.55000E-09,+3.77547751832754E+00,+3.75248228153214E+00
-24.47188E-09,+3.77045239275322E+00,+3.75248228153214E+00
-24.39375E-09,+3.76924636261538E+00,+3.75248228153214E+00
-24.31563E-09,+3.76924636261538E+00,+3.75630137696862E+00
-24.23750E-09,+3.76924636261538E+00,+3.76132650254294E+00
-24.15938E-09,+3.76924636261538E+00,+3.77017072355374E+00
-24.08125E-09,+3.76924636261538E+00,+3.78022097470238E+00
-24.00313E-09,+3.76924636261538E+00,+3.79409032128750E+00
-23.92500E-09,+3.76924636261538E+00,+3.80534660257399E+00
-23.84688E-09,+3.77306545805186E+00,+3.82303504459559E+00
-23.76875E-09,+3.77427148818970E+00,+3.83549735601991E+00
-23.69063E-09,+3.77427148818970E+00,+3.84172851173207E+00
-23.61250E-09,+3.77427148818970E+00,+3.84675363730639E+00
-23.53438E-09,+3.77427148818970E+00,+3.84795966744423E+00
