time,V(n002),V(n003),V(n004)
0.000000000000000e+000,1.084316e-005,1.084313e-005,4.000000e+000
7.000000000000001e-002,1.084316e-005,1.084313e-005,4.000000e+000
7.001018161706438e-002,1.084316e-005,1.029853e-005,3.959274e+000
7.003054485119310e-002,1.084316e-005,1.021063e-005,3.877820e+000
7.007511510818755e-002,1.084316e-005,1.071511e-005,3.699540e+000
7.011968536518200e-002,1.084316e-005,1.151651e-005,3.521259e+000
7.016425562217644e-002,1.084316e-005,1.261481e-005,3.342978e+000
7.020882587917091e-002,1.084316e-005,1.401002e-005,3.164697e+000
7.025339613616535e-002,1.084316e-005,1.570215e-005,2.986416e+000
7.029796639315980e-002,1.084316e-005,1.769118e-005,2.808135e+000
7.034253665015425e-002,1.084316e-005,1.997712e-005,2.629853e+000
7.039990628472845e-002,1.084316e-005,2.505274e-005,2.400375e+000
7.045355442237625e-002,1.084316e-005,3.330853e-005,2.185782e+000
7.049099141186312e-002,1.084316e-005,4.368330e-005,2.036034e+000
7.052267443564768e-002,1.084316e-005,5.952318e-005,1.909302e+000
7.054667398928662e-002,1.084317e-005,8.134814e-005,1.813304e+000
7.056819492018629e-002,1.084318e-005,1.165620e-004,1.727220e+000
7.058709393254820e-002,1.084320e-005,1.732122e-004,1.651624e+000
7.060810410355924e-002,1.084324e-005,2.842120e-004,1.567584e+000
7.062710983083143e-002,1.084328e-005,4.554704e-004,1.491561e+000
7.064860239230814e-002,1.084332e-005,7.682716e-004,1.405590e+000
7.067354626134718e-002,1.084332e-005,1.324256e-003,1.305815e+000
7.071182604211861e-002,1.084313e-005,2.474556e-003,1.152696e+000
7.074593677340832e-002,1.084283e-005,3.667419e-003,1.016253e+000
7.078855645730631e-002,1.084243e-005,5.237325e-003,8.457742e-001
7.090312992985406e-002,1.084172e-005,9.497471e-003,3.874803e-001
7.100000000000001e-002,1.084134e-005,1.312367e-002,0.000000e+000
7.100019742168934e-002,1.084138e-005,1.313153e-002,0.000000e+000
7.100059226506798e-002,1.084140e-005,1.314724e-002,0.000000e+000
7.433028263623484e-002,1.084107e-005,1.431615e-001,0.000000e+000
7.765997300740170e-002,1.084086e-005,2.692546e-001,0.000000e+000
8.098966337856854e-002,1.084078e-005,3.914265e-001,0.000000e+000
8.431935374973540e-002,1.084082e-005,5.096772e-001,0.000000e+000
8.764904412090226e-002,1.084099e-005,6.240067e-001,0.000000e+000
9.097873449206911e-002,1.084128e-005,7.344151e-001,0.000000e+000
9.430842486323596e-002,1.084170e-005,8.409022e-001,0.000000e+000
9.520128200609311e-002,1.084051e-005,8.689380e-001,0.000000e+000
9.609413914895026e-002,1.084104e-005,8.967304e-001,0.000000e+000
9.698699629180743e-002,1.084330e-005,9.242794e-001,0.000000e+000
9.787985343466459e-002,1.084728e-005,9.515850e-001,0.000000e+000
9.877271057752174e-002,1.085299e-005,9.786471e-001,0.000000e+000
9.966556772037889e-002,1.086042e-005,1.005466e+000,0.000000e+000
1.005584248632361e-001,1.086958e-005,1.032041e+000,0.000000e+000
1.017302998632361e-001,1.089809e-005,1.066570e+000,0.000000e+000
1.025115498632361e-001,1.093136e-005,1.089365e+000,0.000000e+000
1.032927998632361e-001,1.098387e-005,1.111981e+000,0.000000e+000
1.036834248632361e-001,1.102065e-005,1.123223e+000,0.000000e+000
1.040740498632361e-001,1.106699e-005,1.134420e+000,0.000000e+000
1.044646748632361e-001,1.112544e-005,1.145573e+000,0.000000e+000
1.048552998632361e-001,1.119937e-005,1.156682e+000,0.000000e+000
1.052459248632361e-001,1.129320e-005,1.167746e+000,0.000000e+000
1.056365498632361e-001,1.141280e-005,1.178766e+000,0.000000e+000
1.060271748632361e-001,1.156620e-005,1.189741e+000,0.000000e+000
1.064177998632361e-001,1.176450e-005,1.200671e+000,0.000000e+000
1.068084248632361e-001,1.202356e-005,1.211556e+000,0.000000e+000
1.071990498632361e-001,1.236681e-005,1.222395e+000,0.000000e+000
1.075896748632362e-001,1.283034e-005,1.233188e+000,0.000000e+000
1.079802998632362e-001,1.347290e-005,1.243932e+000,0.000000e+000
1.083709248632362e-001,1.439729e-005,1.254628e+000,0.000000e+000
1.087615498632362e-001,1.580244e-005,1.265272e+000,0.000000e+000
1.091521748632362e-001,1.813544e-005,1.275862e+000,0.000000e+000
1.095427998632362e-001,2.269540e-005,1.286393e+000,0.000000e+000
1.099334248632362e-001,3.626204e-005,1.296856e+000,0.000000e+000
1.103240498632362e-001,1.793015e-004,1.307239e+000,0.000000e+000
1.106570574615700e-001,1.426429e-003,1.316023e+000,0.000000e+000
1.107895983220773e-001,4.313900e-002,1.319503e+000,0.000000e+000
1.108319616894932e-001,1.186794e-001,1.320620e+000,0.000000e+000
1.108435058983330e-001,1.613145e-001,1.320928e+000,0.000000e+000
1.108477660320159e-001,1.797958e-001,1.321042e+000,0.000000e+000
1.108554114925727e-001,2.133165e-001,1.321246e+000,0.000000e+000
1.108620732155264e-001,2.438692e-001,1.321424e+000,0.000000e+000
1.108720254245558e-001,2.914211e-001,1.321689e+000,0.000000e+000
1.108862753533675e-001,3.640724e-001,1.322069e+000,0.000000e+000
1.109125529289420e-001,5.142248e-001,1.322770e+000,0.000000e+000
1.109614572164716e-001,8.444855e-001,1.324072e+000,0.000000e+000
1.110114006607450e-001,1.264672e+000,1.325398e+000,0.000000e+000
1.110522502991941e-001,1.708230e+000,1.326479e+000,0.000000e+000
1.110876826016513e-001,2.189312e+000,1.327410e+000,0.000000e+000
1.111258848029722e-001,2.761790e+000,1.328402e+000,0.000000e+000
1.111605921340627e-001,3.221828e+000,1.329287e+000,0.000000e+000
1.112041045126568e-001,3.608499e+000,1.330376e+000,0.000000e+000
1.112522503589237e-001,3.820703e+000,1.331568e+000,0.000000e+000
1.113060032684178e-001,3.907529e+000,1.332895e+000,0.000000e+000
1.113676452023486e-001,3.938186e+000,1.334421e+000,0.000000e+000
1.114586976978564e-001,3.952609e+000,1.336686e+000,0.000000e+000
