second,Volt,Volt
+1.46869080000E+00,-58.39195917E-03,+3.25628137216E+00
+1.46869087813E+00,-60.30150689E-03,+3.25628137216E+00
+1.46869095625E+00,-60.90452196E-03,+3.25628137216E+00
+1.46869103438E+00,-63.41708474E-03,+3.25628137216E+00
+1.46869111250E+00,-65.32663247E-03,+3.25628137216E+00
+1.46869119063E+00,-65.92964753E-03,+3.25628137216E+00
+1.46869126875E+00,-67.83919525E-03,+3.25628137216E+00
+1.46869134688E+00,-68.44221032E-03,+3.25628137216E+00
+1.46869142500E+00,-70.95477311E-03,+3.25628137216E+00
+1.46869150313E+00,-72.86432083E-03,+3.25628137216E+00
+1.46869158125E+00,-73.46733590E-03,+3.25628137216E+00
+1.46869165938E+00,-75.97989869E-03,+3.25628137216E+00
+1.46869173750E+00,-77.88944640E-03,+3.25628137216E+00
+1.46869181563E+00,-78.49246148E-03,+3.25628137216E+00
+1.46869189375E+00,-80.40200919E-03,+3.25628137216E+00
+1.46869197188E+00,-80.40200919E-03,+3.25628137216E+00
+1.46869205000E+00,-79.79899411E-03,+3.25688438724E+00
+1.46869212813E+00,-77.88944640E-03,+3.25879393495E+00
+1.46869220625E+00,-77.28643132E-03,+3.25939695002E+00
+1.46869228438E+00,-74.77386854E-03,+3.26190951281E+00
+1.46869236250E+00,-72.86432083E-03,+3.26381906052E+00
+1.46869244063E+00,-72.26130575E-03,+3.26442207560E+00
+1.46869251875E+00,-70.35175804E-03,+3.26633162331E+00
+1.46869259688E+00,-69.74874296E-03,+3.26693463839E+00
+1.46869267500E+00,-67.23618017E-03,+3.26944720118E+00
+1.46869275313E+00,-65.32663247E-03,+3.27135674888E+00
+1.46869283125E+00,-64.72361738E-03,+3.27195976397E+00
+1.46869290938E+00,-62.21105459E-03,+3.27447232675E+00
+1.46869298750E+00,-60.30150689E-03,+3.27638187446E+00
+1.46869306563E+00,-59.69849181E-03,+3.27698488954E+00
+1.46869314375E+00,-57.78894410E-03,+3.27889443724E+00
+1.46869322188E+00,-57.18592902E-03,+3.27949745233E+00
